,institution_name,city_txt,classification_name,EFMaleCount,STUDENTAID_MEN,HDCOACH_SALARY_MEN,IL_PARTIC_MEN,IL_REV_MEN,IL_EXP_MEN,IL_EXPENSE_MENALL,PARTIC_MEN_Bskball,SUM_PARTIC_MEN_Bskball,OPEXPPERPART_MEN_Bskball,OPEXPPERTEAM_MEN_Bskball,MEN_FTHEADCOACH_MALE_Bskball,REV_MEN_Bskball,EXP_MEN_Bskball
1153,CUNY Brooklyn College,Brooklyn,NCAA Division III (without football),3958,0.0,6000.0,94.0,108012.0,108012.0,108012,13.0,13.0,1843.0,23962.0,,41462.0,41462.0
1154,College of Staten Island CUNY,Staten Island,NCAA Division III (without football),4436,0.0,7800.0,101.0,153679.0,153679.0,153679,16.0,16.0,2064.0,33026.0,,62601.0,62601.0
1155,CUNY City College,New York,NCAA Division III (without football),4360,0.0,15156.0,168.0,153895.0,151357.0,151357,18.0,18.0,897.0,16138.0,1.0,83024.0,85562.0
1156,CUNY Hostos Community College,Bronx,NJCAA Division III,1420,0.0,9750.0,29.0,19730.0,19730.0,19730,15.0,15.0,1256.0,18840.0,0.0,38540.0,38540.0
1157,CUNY Hunter College,New York,NCAA Division III (without football),4160,0.0,9219.0,147.0,122128.0,122128.0,122128,15.0,15.0,932.0,13975.0,,43773.0,43773.0
1158,CUNY John Jay College of Criminal Justice,New York,NCAA Division III (without football),4531,0.0,7921.0,98.0,122297.0,122297.0,141660,17.0,17.0,1096.0,18634.0,,39379.0,39379.0
1159,CUNY Kingsborough Community College,Brooklyn,NJCAA Division III,4871,0.0,8656.0,103.0,111860.0,112064.0,112064,15.0,15.0,967.0,14501.0,,24709.0,24505.0
1160,CUNY Lehman College,Bronx,NCAA Division III (without football),1880,0.0,9413.0,155.0,153025.0,153025.0,153025,17.0,17.0,1050.0,17843.0,,46945.0,46945.0
1161,CUNY Medgar Evers College,Brooklyn,NCAA Division III (without football),1179,0.0,8955.0,78.0,71227.0,71227.0,71227,16.0,16.0,1515.0,24246.0,,44817.0,44817.0
1162,CUNY Queens College,Flushing,NCAA Division II (without football),4771,425782.0,21634.0,171.0,580429.0,568894.0,568894,17.0,17.0,1695.0,28818.0,,276976.0,274189.0
1163,CUNY Queensborough Community College,Bayside,NJCAA Division III,4604,0.0,5802.0,113.0,78069.0,78069.0,78069,15.0,15.0,1011.0,15163.0,,24645.0,24645.0
1164,CUNY York College,Jamaica,NCAA Division III (without football),1801,0.0,5358.0,142.0,158670.0,133599.0,133599,11.0,11.0,3098.0,34083.0,,34350.0,41350.0
1165,D'Youville College,Buffalo,NCAA Division III (without football),435,0.0,6200.0,90.0,135779.0,135779.0,135779,19.0,19.0,1808.0,34353.0,,53126.0,53126.0
1166,Daemen College,Amherst,NCAA Division II (without football),499,343516.0,21346.0,127.0,437405.0,427590.0,427590,15.0,15.0,6640.0,99595.0,1.0,386084.0,377421.0
1167,Dominican College of Blauvelt,Orangeburg,NCAA Division II (without football),461,795790.0,11300.0,105.0,728915.0,728915.0,728915,17.0,17.0,1574.0,26753.0,,328937.0,328937.0
1168,Dowling College,Oakdale,NCAA Division II (without football),688,1040546.0,32669.0,139.0,1205935.0,1205935.0,1205935,16.0,16.0,1489.0,23817.0,1.0,378653.0,378653.0
1169,Dutchess Community College,Poughkeepsie,NJCAA Division III,2363,0.0,5736.0,71.0,76843.0,53982.0,53982,13.0,13.0,955.0,12414.0,,19299.0,23774.0
